央视,#genre#
CCTV1,http://192.168.2.1:5155/rtp/233.18.204.168:5140?fcc=124.75.26.151:15970
CCTV1,http://192.168.2.1:5155/rtp/233.18.204.52:5140?fcc=124.75.26.151:15970
CCTV1,http://192.168.2.1:5155/rtp/233.18.204.20:5140?fcc=124.75.26.151:15970
CCTV2,http://192.168.2.1:5155/rtp/233.18.204.68:5140?fcc=124.75.26.151:15970
CCTV2,http://192.168.2.1:5155/rtp/233.18.204.21:5140?fcc=124.75.26.151:15970
CCTV3,http://192.168.2.1:5155/rtp/233.18.204.69:5140?fcc=124.75.26.151:15970
CCTV3,http://192.168.2.1:5155/rtp/233.18.204.22:5140?fcc=124.75.26.151:15970
CCTV4,http://192.168.2.1:5155/rtp/233.18.204.70:5140?fcc=124.75.26.151:15970
CCTV4,http://192.168.2.1:5155/rtp/233.18.204.23:5140?fcc=124.75.26.151:15970
CCTV5,http://192.168.2.1:5155/rtp/233.18.204.71:5140?fcc=124.75.26.151:15970
CCTV5,http://192.168.2.1:5155/rtp/233.18.204.24:5140?fcc=124.75.26.151:15970
CCTV5+,http://192.168.2.1:5155/rtp/233.18.204.67:5140?fcc=124.75.26.151:15970
CCTV6,http://192.168.2.1:5155/rtp/233.18.204.72:5140?fcc=124.75.26.151:15970
CCTV6,http://192.168.2.1:5155/rtp/233.18.204.25:5140?fcc=124.75.26.151:15970
CCTV7,http://192.168.2.1:5155/rtp/233.18.204.73:5140?fcc=124.75.26.151:15970
CCTV7,http://192.168.2.1:5155/rtp/233.18.204.26:5140?fcc=124.75.26.151:15970
CCTV8,http://192.168.2.1:5155/rtp/233.18.204.74:5140?fcc=124.75.26.151:15970
CCTV8,http://192.168.2.1:5155/rtp/233.18.204.27:5140?fcc=124.75.26.151:15970
CCTV9,http://192.168.2.1:5155/rtp/233.18.204.75:5140?fcc=124.75.26.151:15970
CCTV9,http://192.168.2.1:5155/rtp/233.18.204.40:5140?fcc=124.75.26.151:15970
CCTV10,http://192.168.2.1:5155/rtp/233.18.204.76:5140?fcc=124.75.26.151:15970
CCTV10,http://192.168.2.1:5155/rtp/233.18.204.29:5140?fcc=124.75.26.151:15970
CCTV11,http://192.168.2.1:5155/rtp/233.18.204.77:5140?fcc=124.75.26.151:15970
CCTV11,http://192.168.2.1:5155/rtp/233.18.204.30:5140?fcc=124.75.26.151:15970
CCTV12,http://192.168.2.1:5155/rtp/233.18.204.78:5140?fcc=124.75.26.151:15970
CCTV12,http://192.168.2.1:5155/rtp/233.18.204.31:5140?fcc=124.75.26.151:15970
CCTV13,http://192.168.2.1:5155/rtp/233.18.204.79:5140?fcc=124.75.26.151:15970
CCTV13,http://192.168.2.1:5155/rtp/233.18.204.32:5140?fcc=124.75.26.151:15970
CCTV14,http://192.168.2.1:5155/rtp/233.18.204.80:5140?fcc=124.75.26.151:15970
